scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Anterior,0,Global,Point Estimate,0.005832,0.075864,0.075864,,0.000000,,0.005832
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Inferior,1,Global,Point Estimate,0.218405,0.460601,0.460601,,0.000000,,0.218405
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Lateral,2,Global,Point Estimate,0.005297,0.072387,0.072387,,0.000000,,0.005297
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Septal,3,Global,Point Estimate,0.022080,0.145338,0.145338,,0.000000,,0.022080
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Apical,4,Global,Point Estimate,0.000188,0.010724,0.010724,,0.000000,,0.000188
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Anterior,0,Global,Point Estimate,0.008438,0.090414,0.090414,,0.000000,,0.008438
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Inferior,1,Global,Point Estimate,0.144103,0.368374,0.368374,,0.000000,,0.144103
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Lateral,2,Global,Point Estimate,0.001874,0.043001,0.043001,,0.000000,,0.001874
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Septal,3,Global,Point Estimate,0.018118,0.130424,0.130424,,0.000000,,0.018118
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Apical,4,Global,Point Estimate,0.000846,0.028695,0.028695,,0.000000,,0.000846
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Anterior,0,Global,Point Estimate,0.000196,0.013753,0.013753,,0.000000,,0.000196
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Inferior,1,Global,Point Estimate,0.160507,0.393901,0.393901,,0.000000,,0.160507
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Lateral,2,Global,Point Estimate,0.005365,0.073145,0.073145,,0.000000,,0.005365
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Septal,3,Global,Point Estimate,0.001684,0.041031,0.041031,,0.000000,,0.001684
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Apical,4,Global,Point Estimate,0.000298,0.013477,0.013477,,0.000000,,0.000298
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Anterior,0,Global,Point Estimate,0.000028,0.005236,0.005236,,0.000000,,0.000028
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Inferior,1,Global,Point Estimate,0.215980,0.457498,0.457498,,0.000000,,0.215980
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Lateral,2,Global,Point Estimate,0.000059,0.005836,0.005836,,0.000000,,0.000059
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Septal,3,Global,Point Estimate,0.017045,0.128175,0.128175,,0.000000,,0.017045
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Apical,4,Global,Point Estimate,0.000540,0.022620,0.022620,,0.000000,,0.000540
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Anterior,0,Global,Point Estimate,0.004830,0.069115,0.069115,,0.000000,,0.004830
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Inferior,1,Global,Point Estimate,0.205257,0.444635,0.444635,,0.000000,,0.205257
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Lateral,2,Global,Point Estimate,0.000454,0.020244,0.020244,,0.000000,,0.000454
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Septal,3,Global,Point Estimate,0.009136,0.094081,0.094081,,0.000000,,0.009136
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Apical,4,Global,Point Estimate,0.000317,0.014962,0.014962,,0.000000,,0.000317
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Anterior,0,Global,Point Estimate,0.020047,0.141312,0.141312,,0.000000,,0.020047
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Inferior,1,Global,Point Estimate,0.135827,0.361972,0.361972,,0.000000,,0.135827
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Lateral,2,Global,Point Estimate,0.000382,0.015082,0.015082,,0.000000,,0.000382
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Septal,3,Global,Point Estimate,0.004575,0.064513,0.064513,,0.000000,,0.004575
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Apical,4,Global,Point Estimate,0.000174,0.011373,0.011373,,0.000000,,0.000174
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Anterior,0,Global,Point Estimate,0.000026,0.004700,0.004700,,0.000000,,0.000026
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Inferior,1,Global,Point Estimate,0.238068,0.477136,0.477136,,0.000000,,0.238068
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Lateral,2,Global,Point Estimate,0.001671,0.040546,0.040546,,0.000000,,0.001671
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Septal,3,Global,Point Estimate,0.031297,0.173621,0.173621,,0.000000,,0.031297
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Apical,4,Global,Point Estimate,0.006680,0.079253,0.079253,,0.000000,,0.006680
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Anterior,0,Global,Point Estimate,0.000257,0.015803,0.015803,,0.000000,,0.000257
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Inferior,1,Global,Point Estimate,0.053625,0.224308,0.224308,,0.000000,,0.053625
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Lateral,2,Global,Point Estimate,0.000194,0.013843,0.013843,,0.000000,,0.000194
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Septal,3,Global,Point Estimate,0.024410,0.143639,0.143639,,0.000000,,0.024410
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Apical,4,Global,Point Estimate,0.000557,0.022908,0.022908,,0.000000,,0.000557
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Anterior,0,Global,Point Estimate,0.006135,0.077483,0.077483,,0.000000,,0.006135
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Inferior,1,Global,Point Estimate,0.170076,0.393426,0.393426,,0.000000,,0.170076
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Lateral,2,Global,Point Estimate,0.001246,0.035288,0.035288,,0.000000,,0.001246
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Septal,3,Global,Point Estimate,0.094208,0.302895,0.302895,,0.000000,,0.094208
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Apical,4,Global,Point Estimate,0.004556,0.065380,0.065380,,0.000000,,0.004556
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Anterior,0,Global,Point Estimate,0.004044,0.063491,0.063491,,0.000000,,0.004044
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Inferior,1,Global,Point Estimate,0.144156,0.366179,0.366179,,0.000000,,0.144156
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Lateral,2,Global,Point Estimate,0.000929,0.030395,0.030395,,0.000000,,0.000929
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Septal,3,Global,Point Estimate,0.015196,0.121763,0.121763,,0.000000,,0.015196
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Apical,4,Global,Point Estimate,0.000465,0.019165,0.019165,,0.000000,,0.000465
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Anterior,0,Global,Point Estimate,0.005569,0.074586,0.074586,,0.000000,,0.005569
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Inferior,1,Global,Point Estimate,0.118194,0.334672,0.334672,,0.000000,,0.118194
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Lateral,2,Global,Point Estimate,0.000461,0.020132,0.020132,,0.000000,,0.000461
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Septal,3,Global,Point Estimate,0.007116,0.084335,0.084335,,0.000000,,0.007116
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Apical,4,Global,Point Estimate,0.000687,0.024836,0.024836,,0.000000,,0.000687
