scenario,sample_idx,target_region_idx,inferred_region,inferred_region_idx,region_role,credible_level,covered
HCM,3,-1,Inferior,1,Global,0.500000,1.000000
HCM,3,-1,Inferior,1,Global,0.600000,1.000000
HCM,3,-1,Inferior,1,Global,0.700000,1.000000
HCM,3,-1,Inferior,1,Global,0.800000,1.000000
HCM,3,-1,Inferior,1,Global,0.900000,1.000000
HCM,3,-1,Inferior,1,Global,0.950000,1.000000
HCM,3,-1,Lateral,2,Global,0.500000,1.000000
HCM,3,-1,Lateral,2,Global,0.600000,1.000000
HCM,3,-1,Lateral,2,Global,0.700000,1.000000
HCM,3,-1,Lateral,2,Global,0.800000,1.000000
HCM,3,-1,Lateral,2,Global,0.900000,1.000000
HCM,3,-1,Lateral,2,Global,0.950000,1.000000
HCM,3,-1,Septal,3,Global,0.500000,1.000000
HCM,3,-1,Septal,3,Global,0.600000,1.000000
HCM,3,-1,Septal,3,Global,0.700000,1.000000
HCM,3,-1,Septal,3,Global,0.800000,1.000000
HCM,3,-1,Septal,3,Global,0.900000,1.000000
HCM,3,-1,Septal,3,Global,0.950000,1.000000
HCM,3,-1,Apical,4,Global,0.500000,1.000000
HCM,3,-1,Apical,4,Global,0.600000,1.000000
HCM,3,-1,Apical,4,Global,0.700000,1.000000
HCM,3,-1,Apical,4,Global,0.800000,1.000000
HCM,3,-1,Apical,4,Global,0.900000,1.000000
HCM,3,-1,Apical,4,Global,0.950000,1.000000
HCM,4,-1,Anterior,0,Global,0.500000,1.000000
HCM,4,-1,Anterior,0,Global,0.600000,1.000000
HCM,4,-1,Anterior,0,Global,0.700000,1.000000
HCM,4,-1,Anterior,0,Global,0.800000,1.000000
HCM,4,-1,Anterior,0,Global,0.900000,1.000000
HCM,4,-1,Anterior,0,Global,0.950000,1.000000
HCM,4,-1,Inferior,1,Global,0.500000,1.000000
HCM,4,-1,Inferior,1,Global,0.600000,1.000000
HCM,4,-1,Inferior,1,Global,0.700000,1.000000
HCM,4,-1,Inferior,1,Global,0.800000,1.000000
HCM,4,-1,Inferior,1,Global,0.900000,1.000000
HCM,4,-1,Inferior,1,Global,0.950000,1.000000
HCM,4,-1,Lateral,2,Global,0.500000,1.000000
HCM,4,-1,Lateral,2,Global,0.600000,1.000000
HCM,4,-1,Lateral,2,Global,0.700000,1.000000
HCM,4,-1,Lateral,2,Global,0.800000,1.000000
HCM,4,-1,Lateral,2,Global,0.900000,1.000000
HCM,4,-1,Lateral,2,Global,0.950000,1.000000
HCM,4,-1,Septal,3,Global,0.500000,1.000000
HCM,4,-1,Septal,3,Global,0.600000,1.000000
HCM,4,-1,Septal,3,Global,0.700000,1.000000
HCM,4,-1,Septal,3,Global,0.800000,1.000000
HCM,4,-1,Septal,3,Global,0.900000,1.000000
HCM,4,-1,Septal,3,Global,0.950000,1.000000
HCM,4,-1,Apical,4,Global,0.500000,1.000000
HCM,4,-1,Apical,4,Global,0.600000,1.000000
HCM,4,-1,Apical,4,Global,0.700000,1.000000
HCM,4,-1,Apical,4,Global,0.800000,1.000000
HCM,4,-1,Apical,4,Global,0.900000,1.000000
HCM,4,-1,Apical,4,Global,0.950000,1.000000
HCM,5,-1,Anterior,0,Global,0.500000,1.000000
HCM,5,-1,Anterior,0,Global,0.600000,1.000000
HCM,5,-1,Anterior,0,Global,0.700000,1.000000
HCM,5,-1,Anterior,0,Global,0.800000,1.000000
HCM,5,-1,Anterior,0,Global,0.900000,1.000000
HCM,5,-1,Anterior,0,Global,0.950000,1.000000
HCM,5,-1,Inferior,1,Global,0.500000,1.000000
HCM,5,-1,Inferior,1,Global,0.600000,1.000000
HCM,5,-1,Inferior,1,Global,0.700000,1.000000
HCM,5,-1,Inferior,1,Global,0.800000,1.000000
HCM,5,-1,Inferior,1,Global,0.900000,1.000000
HCM,5,-1,Inferior,1,Global,0.950000,1.000000
HCM,5,-1,Lateral,2,Global,0.500000,1.000000
HCM,5,-1,Lateral,2,Global,0.600000,1.000000
HCM,5,-1,Lateral,2,Global,0.700000,1.000000
HCM,5,-1,Lateral,2,Global,0.800000,1.000000
HCM,5,-1,Lateral,2,Global,0.900000,1.000000
HCM,5,-1,Lateral,2,Global,0.950000,1.000000
HCM,5,-1,Septal,3,Global,0.500000,0.000000
HCM,5,-1,Septal,3,Global,0.600000,0.500000
HCM,5,-1,Septal,3,Global,0.700000,1.000000
HCM,5,-1,Septal,3,Global,0.800000,1.000000
HCM,5,-1,Septal,3,Global,0.900000,1.000000
HCM,5,-1,Septal,3,Global,0.950000,1.000000
HCM,5,-1,Apical,4,Global,0.500000,1.000000
HCM,5,-1,Apical,4,Global,0.600000,1.000000
HCM,5,-1,Apical,4,Global,0.700000,1.000000
HCM,5,-1,Apical,4,Global,0.800000,1.000000
HCM,5,-1,Apical,4,Global,0.900000,1.000000
HCM,5,-1,Apical,4,Global,0.950000,1.000000
HCM,6,-1,Anterior,0,Global,0.500000,1.000000
HCM,6,-1,Anterior,0,Global,0.600000,1.000000
HCM,6,-1,Anterior,0,Global,0.700000,1.000000
HCM,6,-1,Anterior,0,Global,0.800000,1.000000
HCM,6,-1,Anterior,0,Global,0.900000,1.000000
HCM,6,-1,Anterior,0,Global,0.950000,1.000000
HCM,6,-1,Inferior,1,Global,0.500000,1.000000
HCM,6,-1,Inferior,1,Global,0.600000,1.000000
HCM,6,-1,Inferior,1,Global,0.700000,1.000000
HCM,6,-1,Inferior,1,Global,0.800000,1.000000
HCM,6,-1,Inferior,1,Global,0.900000,1.000000
HCM,6,-1,Inferior,1,Global,0.950000,1.000000
HCM,6,-1,Lateral,2,Global,0.500000,1.000000
HCM,6,-1,Lateral,2,Global,0.600000,1.000000
HCM,6,-1,Lateral,2,Global,0.700000,1.000000
HCM,6,-1,Lateral,2,Global,0.800000,1.000000
HCM,6,-1,Lateral,2,Global,0.900000,1.000000
HCM,6,-1,Lateral,2,Global,0.950000,1.000000
HCM,6,-1,Septal,3,Global,0.500000,1.000000
HCM,6,-1,Septal,3,Global,0.600000,1.000000
HCM,6,-1,Septal,3,Global,0.700000,1.000000
HCM,6,-1,Septal,3,Global,0.800000,1.000000
HCM,6,-1,Septal,3,Global,0.900000,1.000000
HCM,6,-1,Septal,3,Global,0.950000,1.000000
HCM,6,-1,Apical,4,Global,0.500000,1.000000
HCM,6,-1,Apical,4,Global,0.600000,1.000000
HCM,6,-1,Apical,4,Global,0.700000,1.000000
HCM,6,-1,Apical,4,Global,0.800000,1.000000
HCM,6,-1,Apical,4,Global,0.900000,1.000000
HCM,6,-1,Apical,4,Global,0.950000,1.000000
HCM,7,-1,Anterior,0,Global,0.500000,1.000000
HCM,7,-1,Anterior,0,Global,0.600000,1.000000
HCM,7,-1,Anterior,0,Global,0.700000,1.000000
HCM,7,-1,Anterior,0,Global,0.800000,1.000000
HCM,7,-1,Anterior,0,Global,0.900000,1.000000
HCM,7,-1,Anterior,0,Global,0.950000,1.000000
HCM,7,-1,Inferior,1,Global,0.500000,1.000000
HCM,7,-1,Inferior,1,Global,0.600000,1.000000
HCM,7,-1,Inferior,1,Global,0.700000,1.000000
HCM,7,-1,Inferior,1,Global,0.800000,1.000000
HCM,7,-1,Inferior,1,Global,0.900000,1.000000
HCM,7,-1,Inferior,1,Global,0.950000,1.000000
HCM,7,-1,Lateral,2,Global,0.500000,1.000000
HCM,7,-1,Lateral,2,Global,0.600000,1.000000
HCM,7,-1,Lateral,2,Global,0.700000,1.000000
HCM,7,-1,Lateral,2,Global,0.800000,1.000000
HCM,7,-1,Lateral,2,Global,0.900000,1.000000
HCM,7,-1,Lateral,2,Global,0.950000,1.000000
HCM,7,-1,Septal,3,Global,0.500000,1.000000
HCM,7,-1,Septal,3,Global,0.600000,1.000000
HCM,7,-1,Septal,3,Global,0.700000,1.000000
HCM,7,-1,Septal,3,Global,0.800000,1.000000
HCM,7,-1,Septal,3,Global,0.900000,1.000000
HCM,7,-1,Septal,3,Global,0.950000,1.000000
HCM,7,-1,Apical,4,Global,0.500000,1.000000
HCM,7,-1,Apical,4,Global,0.600000,1.000000
HCM,7,-1,Apical,4,Global,0.700000,1.000000
HCM,7,-1,Apical,4,Global,0.800000,1.000000
HCM,7,-1,Apical,4,Global,0.900000,1.000000
HCM,7,-1,Apical,4,Global,0.950000,1.000000
HCM,8,-1,Anterior,0,Global,0.500000,1.000000
HCM,8,-1,Anterior,0,Global,0.600000,1.000000
HCM,8,-1,Anterior,0,Global,0.700000,1.000000
HCM,8,-1,Anterior,0,Global,0.800000,1.000000
HCM,8,-1,Anterior,0,Global,0.900000,1.000000
HCM,8,-1,Anterior,0,Global,0.950000,1.000000
HCM,8,-1,Inferior,1,Global,0.500000,1.000000
HCM,8,-1,Inferior,1,Global,0.600000,1.000000
HCM,8,-1,Inferior,1,Global,0.700000,1.000000
HCM,8,-1,Inferior,1,Global,0.800000,1.000000
